repository,type,source,keyword,summary,link,status
PolyJIT/benchbuild,Issue,body+title,OS=unix|windows; FIX=fail|failing; TEST_CI=tests,Tests and path utilities fail on Windows,https://github.com/PolyJIT/benchbuild/issues/572,Related!!
agentmorris/MegaDetector,Issue,body,OS=macos|windows; FIX=fails,Exception: Error: found no frames in file `...IMAG0001.AVI`,https://github.com/agentmorris/MegaDetector/issues/182,Not Python
amazon-braket/amazon-braket-sdk-python,Issue,body+title,OS=win32|windows; FIX=bug|fail|fails; TEST_CI=test|tests|tox,`test_aws_session.py` fails on Windows with Python 3.12,https://github.com/amazon-braket/amazon-braket-sdk-python/issues/1112,Related!!
Xpra-org/xpra,Issue,comment,OS=debian|ubuntu; FIX=fixes,Create menu automatically when there's none,https://github.com/Xpra-org/xpra/issues/4644,Not related
VeNoMouS/cloudscraper,Issue,body+title,OS=windows; FIX=fail|fails|failure; CAUSE=cp1252|utf-8; API=subprocess,Unable to install `cloudscraper` 3.0.0 from Git on Windows (PEP 517 build fails with `UnicodeDecodeError`); 3.0.0 not on PyPI,https://github.com/VeNoMouS/cloudscraper/issues/306,Related!!
AstarVienna/ScopeSim,Issue,body+title,OS=macos|ubuntu|windows; FIX=broken|fix|skip; TEST_CI=ci|matrix,Fix CI for macOS and Windows,https://github.com/AstarVienna/ScopeSim/issues/759,Not related
beetbox/beets,Issue,body+title,OS=ubuntu; FIX=fails; API=subprocess,`pip install beets` fails on a RaspberryPi5 running ubuntu 25.04,https://github.com/beetbox/beets/issues/5940,Not related
GNS3/gns3-server,Issue,body+title,OS=arch|linux; FIX=bug|fix,Internal Server Error due to HTTP error 500 Notification Bug in GNS3 Server,https://github.com/GNS3/gns3-server/issues/2548,Not related
alan-turing-institute/AIrsenal,Issue,body+title,OS=linux; FIX=fails|fix,"setup_initial_db fails on fresh install, Linux/Python3.12",https://github.com/alan-turing-institute/AIrsenal/issues/731,Not related
GoogleCloudPlatform/professional-services-data-validator,Issue,body+title,OS=debian|linux; FIX=bug|fails; API=subprocess,DVT installation fails on Linux due to missing Python headers in Python 3.13.5,https://github.com/GoogleCloudPlatform/professional-services-data-validator/issues/1571,Not related
AI-Hypercomputer/xpk,Issue,body+title,OS=unix|windows; FIX=cross-platform|fail; TEST_CI=tests,Integration tests fail on Windows due to hardcoded Unix paths,https://github.com/AI-Hypercomputer/xpk/issues/591,Related!!
ansys/pymechanical,Issue,body+title,OS=windows; FIX=bug|fix|workaround; CAUSE=executable,Bug found in workaround for windows store python,https://github.com/ansys/pymechanical/issues/1277,Related!!
aws-powertools/powertools-lambda-python,Issue,body,OS=linux|macos|windows; FIX=compatibility|cross-platform; TEST_CI=ci,Docs: Create initial structure to add build recipes documentation,https://github.com/aws-powertools/powertools-lambda-python/issues/7162,Not related
awslabs/mcp,Issue,body+comment+title,OS=darwin|debian|macos|windows; FIX=failing|fails|fix|workaround; TEST_CI=tests,AWS API MCP Server fails to start due to timeout during embedding model download,https://github.com/awslabs/mcp/issues/1086,Not related
ansys/pyfluent,Issue,body+title,OS=linux|ubuntu|windows; FIX=bug|fails,solve/animate/pulse/write command fails on Linux but works on Windows,https://github.com/ansys/pyfluent/issues/4364,Related!!
compiler-explorer/infra,Issue,comment,OS=linux|ubuntu; FIX=broken|fail|fix|workaround; TEST_CI=tests; CAUSE=dst,Migrate to 24.04,https://github.com/compiler-explorer/infra/issues/1736,Not Python
NagiosEnterprises/ncpa,Issue,body+comment+title,OS=windows; FIX=fail|fails|fix|workaround,[Windows] NCPA 3.1.0 to NCPA 3.1.4 - ncpa.exe upgrade fail (uninstall fail),https://github.com/NagiosEnterprises/ncpa/issues/1281,Not related
awslabs/mcp,Issue,body,OS=linux|macos|windows; FIX=compatibility; TEST_CI=test|tests,RFC: AWS Cloud WAN MCP Server,https://github.com/awslabs/mcp/issues/992,Not related
aboutcode-org/scancode-toolkit,Issue,body+comment,OS=linux|macos|windows; FIX=broken|failing|fails|fix; TEST_CI=test|tests,scancode-toolkit now depends on pyicu,https://github.com/aboutcode-org/scancode-toolkit/issues/4493,Not related
JelteF/PyLaTeX,Issue,body+title,OS=linux|macos|ubuntu|windows; FIX=compatibility|fails|fix,Linux Compatibility issue with Python 3.13: SafeConfigParser removed,https://github.com/JelteF/PyLaTeX/issues/392,Not related
aiidateam/aiida-core,Issue,body+title,OS=fedora; FIX=fail|failing; TEST_CI=tests,test_remote.py::test_get_size_on_disk_* tests fail on Fedora/btrfs system,https://github.com/aiidateam/aiida-core/issues/6960,New Category
chanzuckerberg/single-cell-curation,Issue,comment+title,OS=linux|macos; FIX=broken|fails,genes_sars_cov_2.csv.gz file broken?,https://github.com/chanzuckerberg/single-cell-curation/issues/1415,Not related
AdnaneKhan/gato-x,Issue,body+comment+title,OS=arch|linux; FIX=bug|fix|fixed|regression; TEST_CI=workflow,https://github.com/actions/runner/releases/download/v2.326.0/actions-runner-linux-None-2.326.0.tar.gz not found,https://github.com/AdnaneKhan/gato-x/issues/183,Not related
AI4quantum/maestro,Issue,body+comment+title,OS=linux; FIX=workaround; TEST_CI=ci,refactor: docker image CI images only support linux/amd64 platform,https://github.com/AI4quantum/maestro/issues/625,Not related
