filename,class,model,predicted
portable/fixed/f5.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f5.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f5.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f1.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f1.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f19.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f19.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f19.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f18.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f18.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f18.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f4.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f4.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f4.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/normal.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/normal.py,portable,x-ai/grok-4-fast,portable
portable/fixed/normal.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f23.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f23.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f23.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f17.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f17.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f17.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f13.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f13.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f13.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/platform2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/platform2.py,portable,x-ai/grok-4-fast,portable
portable/fixed/platform2.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/path2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/path2.py,portable,x-ai/grok-4-fast,portable
portable/fixed/path2.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f12.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/fixed/f12.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f12.py,portable,openai/gpt-4o-mini,portable
portable/fixed/f22.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f22.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f22.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f16.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f16.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f16.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f9.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f9.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f9.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/platform1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/platform1.py,portable,x-ai/grok-4-fast,portable
portable/fixed/platform1.py,portable,openai/gpt-4o-mini,portable
portable/fixed/path1.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/fixed/path1.py,portable,x-ai/grok-4-fast,portable
portable/fixed/path1.py,portable,openai/gpt-4o-mini,portable
portable/fixed/f11.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f11.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f11.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f21.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f21.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f21.py,portable,openai/gpt-4o-mini,nonportable
