filename,model,fixed_file,fixed_correctly
Address_already_in_use.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Address_already_in_use.1.py,YES
Address_already_in_use.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Address_already_in_use.1.py,YES
Address_already_in_use.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Address_already_in_use.1.py,NO
Address_already_in_use.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Address_already_in_use.2.py,YES
Address_already_in_use.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Address_already_in_use.2.py,NO
Address_already_in_use.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Address_already_in_use.2.py,YES
Command_execution_mismatch.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Command_execution_mismatch.1.py,YES
Command_execution_mismatch.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Command_execution_mismatch.1.py,YES
Command_execution_mismatch.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Command_execution_mismatch.1.py,YES
Command_execution_mismatch.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Command_execution_mismatch.2.py,NO
Command_execution_mismatch.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Command_execution_mismatch.2.py,YES
Command_execution_mismatch.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Command_execution_mismatch.2.py,NO
Curses_maybe_not_avaliable_Win.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Curses_maybe_not_avaliable_Win.1.py,NO
Curses_maybe_not_avaliable_Win.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Curses_maybe_not_avaliable_Win.1.py,YES
Curses_maybe_not_avaliable_Win.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Curses_maybe_not_avaliable_Win.1.py,YES
